Wallet statement;;;;;;;;;;
Address count with BTC balance:;1;;;;;;;;;
Starting balance 2023-01-15;0;BTC;0;USD;;;;;;
Ending balance 2024-04-17;0;BTC;0;USD;;;;;;
Total received;2,68903734;BTC;;;;;;;;
Total sent;2,68903734;BTC;;;;;;;;
Total received from external wallets;2,68903734;BTC;;;;;;;;
Total sent to external wallets;9,83291646;BTC;;;;;;;;
;;;;;;;;;;
Types legend;;;;;;;;;;
External receiving;An event that replenishes an address from your list, where the sending address is not an address from your list.;;;;;;;;;
External spending;An event that reflects a spend from an address on your list to an external address that is not an address on your list.;;;;;;;;;
Inner fee;Commission that was spent by the address from your list.;;;;;;;;;
Inner;Event where the recipient address and the sender address are addresses from your list;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Start period;15/01/2023;;;;;;;;;
End period;17/04/2024;;;;;;;;;
Transactions involving the addresses:;;;;;;;;;;
Tx number;Effect;Ticker;Amount fiat (USD);Asset rate (USD);Type;Date;Public key;Wallet address;Third-party address;Transaction hash
1;-0,09429712;BTC;-3962,84;42025;Inner;29/01/2024 14:11;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;a47f1e8f19c2514f21a5631fd10f41e1a0957335c11d4316f5cad1c7b1a0433e
2;-0,0538657;BTC;-2263,71;42025;Inner;29/01/2024 14:11;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;a47f1e8f19c2514f21a5631fd10f41e1a0957335c11d4316f5cad1c7b1a0433e
3;-0,02542345;BTC;-1068,42;42025;Inner;29/01/2024 14:11;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;a47f1e8f19c2514f21a5631fd10f41e1a0957335c11d4316f5cad1c7b1a0433e
4;-0,0812085;BTC;-3412,79;42025;Inner;29/01/2024 14:11;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;a47f1e8f19c2514f21a5631fd10f41e1a0957335c11d4316f5cad1c7b1a0433e
5;-0,05773364;BTC;-2426,26;42025;Inner;29/01/2024 14:11;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;a47f1e8f19c2514f21a5631fd10f41e1a0957335c11d4316f5cad1c7b1a0433e
6;-0,00747341;BTC;-314,07;42025;Inner;29/01/2024 14:11;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;a47f1e8f19c2514f21a5631fd10f41e1a0957335c11d4316f5cad1c7b1a0433e
7;-0,07846013;BTC;-3297,29;42025;Inner;29/01/2024 14:11;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;a47f1e8f19c2514f21a5631fd10f41e1a0957335c11d4316f5cad1c7b1a0433e
8;-0,04112659;BTC;-1728,34;42025;Inner;29/01/2024 14:11;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;a47f1e8f19c2514f21a5631fd10f41e1a0957335c11d4316f5cad1c7b1a0433e
9;-0,01285571;BTC;-540,26;42025;Inner;29/01/2024 14:11;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;a47f1e8f19c2514f21a5631fd10f41e1a0957335c11d4316f5cad1c7b1a0433e
10;-0,01309503;BTC;-550,32;42025;Inner;29/01/2024 14:11;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;a47f1e8f19c2514f21a5631fd10f41e1a0957335c11d4316f5cad1c7b1a0433e
11;-0,01034591;BTC;-434,79;42025;Inner;29/01/2024 14:11;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;a47f1e8f19c2514f21a5631fd10f41e1a0957335c11d4316f5cad1c7b1a0433e
12;-0,01309391;BTC;-550,27;42025;Inner;29/01/2024 14:11;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;a47f1e8f19c2514f21a5631fd10f41e1a0957335c11d4316f5cad1c7b1a0433e
13;-0,0773884;BTC;-3252,25;42025;Inner;29/01/2024 14:11;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;a47f1e8f19c2514f21a5631fd10f41e1a0957335c11d4316f5cad1c7b1a0433e
14;-0,01254385;BTC;-527,16;42025;Inner;29/01/2024 14:11;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;a47f1e8f19c2514f21a5631fd10f41e1a0957335c11d4316f5cad1c7b1a0433e
15;-0,02489543;BTC;-1046,23;42025;Inner;29/01/2024 14:11;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;a47f1e8f19c2514f21a5631fd10f41e1a0957335c11d4316f5cad1c7b1a0433e
16;-0,087652;BTC;-3683,58;42025;Inner;29/01/2024 14:11;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;a47f1e8f19c2514f21a5631fd10f41e1a0957335c11d4316f5cad1c7b1a0433e
17;-0,01328958;BTC;-558,49;42025;Inner;29/01/2024 14:11;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;a47f1e8f19c2514f21a5631fd10f41e1a0957335c11d4316f5cad1c7b1a0433e
18;-0,02674657;BTC;-1124,02;42025;Inner;29/01/2024 14:11;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;a47f1e8f19c2514f21a5631fd10f41e1a0957335c11d4316f5cad1c7b1a0433e
19;-0,02401235;BTC;-1009,12;42025;Inner;29/01/2024 14:11;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;a47f1e8f19c2514f21a5631fd10f41e1a0957335c11d4316f5cad1c7b1a0433e
20;2,09157976;BTC;87898,64;42025;External spending;29/01/2024 14:11;;;bc1qxt0tzc9lds6tqg8lm6cc2g7c3f9ztjm8apmy7u;a47f1e8f19c2514f21a5631fd10f41e1a0957335c11d4316f5cad1c7b1a0433e
21;-0,08030531;BTC;-3374,83;42025;Inner;29/01/2024 14:11;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;a47f1e8f19c2514f21a5631fd10f41e1a0957335c11d4316f5cad1c7b1a0433e
22;0,02489543;BTC;1046,23;42025;External receiving;29/01/2024 13:41;;bc1q27h8c7q5xtpmkpzeprc7zw09mqwrf9xkkeq088;;dee874bb8d10962067eba1c16735c4b155945a566edc3d1548fac37ad9def6ba
