Date,Wallet,Quantity,Cost basis (EUR),Cost basis per BTC (EUR),Market value (EUR),Holding period,Gain/loss amount (EUR),Gain/loss percentage
05/01/2024,Bitcoin Wallet ...2cq87m,0.04404771,4240.47,96269.86,2427.41,Short-term,-1813.05,-0.4276
04/28/2024,Bitcoin Wallet ...2cq87m,0.39556942,39887.40,100835.41,21799.34,Short-term,-18088.07,-0.4535
04/26/2024,Bitcoin Wallet ...2cq87m,0.07778287,7984.41,102649.98,4286.52,Short-term,-3697.89,-0.4631
04/22/2024,Bitcoin Wallet ...apmy7u,0.83219622,50717.51,60944.17,45861.29,Short-term,-4856.22,-0.0958
04/20/2024,Bitcoin Wallet ...apmy7u,0.50000000,29941.89,59883.78,27554.37,Short-term,-2387.51,-0.0797
04/12/2024,Bitcoin Wallet ...apmy7u,0.16469384,10826.16,65735.09,9076.07,Short-term,-1750.09,-0.1617
01/29/2024,Bitcoin Wallet ...keq088,0.02489543,965.79,38793.78,1371.96,Short-term,406.17,0.4206
01/26/2024,Bitcoin Wallet ...keq088,0.01034591,380.34,36762.12,570.15,Short-term,189.81,0.4991
01/25/2024,Bitcoin Wallet ...keq088,0.07738840,2859.57,36950.86,4264.78,Short-term,1405.21,0.4914
01/24/2024,Bitcoin Wallet ...keq088,0.17186047,6298.31,36647.83,9471.02,Short-term,3172.70,0.5037
01/23/2024,Bitcoin Wallet ...keq088,0.08765200,3190.31,36397.45,4830.39,Short-term,1640.08,0.5141
01/23/2024,Bitcoin Wallet ...keq088,0.01309391,476.58,36397.45,721.59,Short-term,245.00,0.5141
01/23/2024,Bitcoin Wallet ...keq088,0.02401235,873.99,36397.45,1323.29,Short-term,449.30,0.5141
01/23/2024,Bitcoin Wallet ...keq088,0.02674657,973.51,36397.45,1473.97,Short-term,500.46,0.5141
01/23/2024,Bitcoin Wallet ...keq088,0.01328958,483.71,36397.45,732.37,Short-term,248.67,0.5141
01/23/2024,Bitcoin Wallet ...keq088,0.04112659,1496.90,36397.45,2266.43,Short-term,769.53,0.5141
01/23/2024,Bitcoin Wallet ...keq088,0.05386570,1960.57,36397.45,2968.47,Short-term,1007.90,0.5141
01/23/2024,Bitcoin Wallet ...keq088,0.08120850,2955.78,36397.45,4475.30,Short-term,1519.52,0.5141
01/23/2024,Bitcoin Wallet ...keq088,0.09429712,3432.17,36397.45,5196.60,Short-term,1764.42,0.5141
01/23/2024,Bitcoin Wallet ...keq088,0.05773364,2101.36,36397.45,3181.63,Short-term,1080.27,0.5141
01/23/2024,Bitcoin Wallet ...keq088,0.01254385,456.56,36397.45,691.28,Short-term,234.71,0.5141
01/22/2024,Bitcoin Wallet ...keq088,0.02542345,971.13,38198.20,1401.05,Short-term,429.92,0.4427
01/22/2024,Bitcoin Wallet ...keq088,0.00747341,285.47,38198.20,411.85,Short-term,126.38,0.4427
01/19/2024,Bitcoin Wallet ...keq088,0.01285571,486.65,37854.41,708.46,Short-term,221.82,0.4558
01/19/2024,Bitcoin Wallet ...keq088,0.01206525,456.72,37854.41,664.90,Short-term,208.18,0.4558
01/19/2024,Bitcoin Wallet ...keq088,0.01104471,418.09,37854.41,608.66,Short-term,190.57,0.4558
01/19/2024,Bitcoin Wallet ...keq088,0.04792441,1814.15,37854.41,2641.05,Short-term,826.90,0.4558
01/18/2024,Bitcoin Wallet ...keq088,0.04599842,1806.77,39279.03,2534.92,Short-term,728.14,0.4030
01/18/2024,Bitcoin Wallet ...keq088,0.07400728,2906.93,39279.03,4078.45,Short-term,1171.51,0.4030
01/18/2024,Bitcoin Wallet ...keq088,0.05021300,1972.32,39279.03,2767.18,Short-term,794.86,0.4030
01/18/2024,Bitcoin Wallet ...keq088,0.02501410,982.53,39279.03,1378.50,Short-term,395.97,0.4030
01/18/2024,Bitcoin Wallet ...keq088,0.01079000,423.82,39279.03,594.62,Short-term,170.80,0.4030
01/18/2024,Bitcoin Wallet ...keq088,0.01203002,472.53,39279.03,662.96,Short-term,190.43,0.4030
01/17/2024,Bitcoin Wallet ...keq088,0.02425360,961.01,39623.26,1336.59,Short-term,375.58,0.3908
01/16/2024,Bitcoin Wallet ...keq088,0.01900875,742.62,39067.05,1047.55,Short-term,304.93,0.4106
01/16/2024,Bitcoin Wallet ...keq088,0.00598141,233.68,39067.05,329.63,Short-term,95.95,0.4106
01/16/2024,Bitcoin Wallet ...keq088,0.09011300,3520.45,39067.05,4966.01,Short-term,1445.57,0.4106
01/16/2024,Bitcoin Wallet ...keq088,0.20707140,8089.67,39067.05,11411.45,Short-term,3321.78,0.4106
01/15/2024,Bitcoin Wallet ...keq088,0.01514588,577.26,38113.47,834.67,Short-term,257.41,0.4459
01/12/2024,Bitcoin Wallet ...keq088,0.04739970,2004.02,42279.09,2612.14,Short-term,608.12,0.3035
01/12/2024,Bitcoin Wallet ...keq088,0.02457520,1039.02,42279.09,1354.31,Short-term,315.29,0.3035
01/12/2024,Bitcoin Wallet ...keq088,0.10464160,4424.15,42279.09,5766.67,Short-term,1342.52,0.3035
01/12/2024,Bitcoin Wallet ...keq088,0.06931860,2930.73,42279.09,3820.06,Short-term,889.33,0.3035
01/12/2024,Bitcoin Wallet ...keq088,0.03912880,1654.33,42279.09,2156.34,Short-term,502.01,0.3035
01/12/2024,Bitcoin Wallet ...keq088,0.02255910,953.78,42279.09,1243.20,Short-term,289.43,0.3035
01/11/2024,Bitcoin Wallet ...keq088,0.13510900,5739.76,42482.41,7445.69,Short-term,1705.93,0.2972
01/11/2024,Bitcoin Wallet ...keq088,0.00186255,79.13,42482.41,102.64,Short-term,23.52,0.2972
01/11/2024,Bitcoin Wallet ...keq088,0.02271800,965.12,42482.41,1251.96,Short-term,286.85,0.2972
